id,timestamp,symbol,price,volume
0,1721549924,1,221,226
1,1721549925,2,444,737
2,1721549926,3,861,296
3,1721549927,4,267,518
4,1721549928,1,694,351
5,1721549929,2,214,902
6,1721549930,3,508,311
7,1721549931,4,991,714
8,1721549932,1,416,410
9,1721549933,2,839,447
10,1721549934,3,965,303
11,1721549935,4,370,390
12,1721549936,1,686,637
13,1721549937,2,109,565
14,1721549938,3,624,228
15,1721549939,4,536,993
16,1721549940,1,406,520
17,1721549941,2,93,115
18,1721549942,3,878,798
19,1721549943,4,791,733
20,1721549944,1,659,966
21,1721549945,2,169,242
22,1721549946,3,930,166
23,1721549947,4,69,231
24,1721549948,1,953,136
25,1721549949,2,624,371
26,1721549950,3,125,529
27,1721549951,4,82,679
28,1721549952,1,73,270
29,1721549953,2,589,616
30,1721549954,3,446,745
31,1721549955,4,797,900
32,1721549956,1,997,711
33,1721549957,2,802,985
34,1721549958,3,500,922
35,1721549959,4,360,390
36,1721549960,1,389,681
37,1721549961,2,546,886
38,1721549962,3,733,495
39,1721549963,4,171,934
40,1721549964,1,262,843
41,1721549965,2,290,548
42,1721549966,3,791,249
43,1721549967,4,467,140
44,1721549968,1,73,498
45,1721549969,2,322,837
46,1721549970,3,717,256
47,1721549971,4,675,323
48,1721549972,1,946,318
49,1721549973,2,754,851
50,1721549974,3,756,513
51,1721549975,4,368,226
52,1721549976,1,358,773
53,1721549977,2,711,228
54,1721549978,3,805,337
55,1721549979,4,468,720
56,1721549980,1,575,257
57,1721549981,2,233,363
58,1721549982,3,325,560
59,1721549983,4,884,772
60,1721549984,1,317,174
61,1721549985,2,730,358
62,1721549986,3,553,254
63,1721549987,4,235,558
64,1721549988,1,94,879
65,1721549989,2,666,596
66,1721549990,3,672,587
67,1721549991,4,146,524
68,1721549992,1,941,931
69,1721549993,2,240,636
70,1721549994,3,752,924
71,1721549995,4,265,613
72,1721549996,1,470,420
73,1721549997,2,387,101
74,1721549998,3,747,620
75,1721549999,4,964,934
76,1721550000,1,279,500
77,1721550001,2,123,735
78,1721550002,3,348,548
79,1721550003,4,232,549
80,1721550004,1,318,776
81,1721550005,2,987,222
82,1721550006,3,352,519
83,1721550007,4,88,920
84,1721550008,1,377,579
85,1721550009,2,896,636
86,1721550010,3,451,379
87,1721550011,4,739,997
88,1721550012,1,405,971
89,1721550013,2,529,971
90,1721550014,3,348,356
91,1721550015,4,490,911
92,1721550016,1,512,759
93,1721550017,2,887,864
94,1721550018,3,590,221
95,1721550019,4,583,523
96,1721550020,1,801,204
97,1721550021,2,877,154
98,1721550022,3,732,266
99,1721550023,4,96,349
100,1721550024,1,877,618
101,1721550025,2,966,375
102,1721550026,3,893,693
103,1721550027,4,751,770
104,1721550028,1,316,316
105,1721550029,2,103,768
106,1721550030,3,913,851
107,1721550031,4,581,231
108,1721550032,1,702,742
109,1721550033,2,190,171
110,1721550034,3,128,209
111,1721550035,4,613,453
112,1721550036,1,172,717
113,1721550037,2,827,391
114,1721550038,3,703,691
115,1721550039,4,518,547
116,1721550040,1,292,242
117,1721550041,2,620,899
118,1721550042,3,999,486
119,1721550043,4,942,719
120,1721550044,1,959,555
121,1721550045,2,275,839
122,1721550046,3,1000,336
123,1721550047,4,507,378
124,1721550048,1,570,189
125,1721550049,2,77,760
126,1721550050,3,399,715
127,1721550051,4,682,717
128,1721550052,1,215,880
129,1721550053,2,88,641
130,1721550054,3,215,286
131,1721550055,4,289,539
132,1721550056,1,833,585
133,1721550057,2,789,834
134,1721550058,3,117,742
135,1721550059,4,348,851
136,1721550060,1,322,951
137,1721550061,2,447,188
138,1721550062,3,820,562
139,1721550063,4,324,655
140,1721550064,1,468,935
141,1721550065,2,71,341
142,1721550066,3,334,996
143,1721550067,4,300,653
144,1721550068,1,118,231
145,1721550069,2,724,434
146,1721550070,3,919,299
147,1721550071,4,53,123
148,1721550072,1,643,589
149,1721550073,2,690,337
150,1721550074,3,111,225
151,1721550075,4,980,702
152,1721550076,1,814,716
153,1721550077,2,469,715
154,1721550078,3,557,507
155,1721550079,4,167,275
156,1721550080,1,379,834
157,1721550081,2,567,511
158,1721550082,3,973,897
159,1721550083,4,327,677
160,1721550084,1,390,910
161,1721550085,2,817,252
162,1721550086,3,93,745
163,1721550087,4,157,116
164,1721550088,1,295,237
165,1721550089,2,388,530
166,1721550090,3,376,391
167,1721550091,4,798,721
168,1721550092,1,664,355
169,1721550093,2,368,226
170,1721550094,3,507,230
171,1721550095,4,907,531
172,1721550096,1,401,380
173,1721550097,2,918,178
174,1721550098,3,384,973
175,1721550099,4,376,928
176,1721550100,1,134,209
177,1721550101,2,532,104
178,1721550102,3,256,500
179,1721550103,4,226,351
180,1721550104,1,277,703
181,1721550105,2,202,740
182,1721550106,3,344,622
183,1721550107,4,241,375
184,1721550108,1,232,874
185,1721550109,2,965,242
186,1721550110,3,374,320
187,1721550111,4,712,142
